Date,Topic,Comment
"03/11/2020, 03:22:36",['CloseTheSchools'],RT @sunnybaabe: I don’t get why we are waiting for coronavirus to get to our campuses before closing them. The spread will be much worse wh…
"03/11/2020, 03:22:27",['CloseTheSchools'],They finally decided to close the school ONCE someone tested psitive for the Corona Virus. Smh. I wonder who else can be tested positive. #coronavirus #cuny #CloseTheSchools #CloseCuny #COVID19 #Nyc https://t.co/mxjw3eaqr4
"03/11/2020, 03:22:20",['CloseTheSchools'],RT @sunnybaabe: I don’t get why we are waiting for coronavirus to get to our campuses before closing them. The spread will be much worse wh…
"03/11/2020, 03:21:59",['CloseTheSchools'],RT @sunnybaabe: I don’t get why we are waiting for coronavirus to get to our campuses before closing them. The spread will be much worse wh…
"03/11/2020, 03:22:34",['MichiganVotes'],"RT @7458Boyz: Like And Subcribe 
Watch Now!!
https://t.co/LWxyrTorNJ

#coronavirus #COVID19 #LoseWithBiden #MichiganPrimary #Corona #remot…"
"03/11/2020, 03:22:02",['MichiganVotes'],#lastword #Maddow #MichiganVotes #Trump #DemocraticPrimary #COVID2019 https://t.co/xLS22OCLHV
"03/11/2020, 03:21:47",['MichiganVotes'],"Like And Subcribe 
Watch Now!!
https://t.co/LWxyrTorNJ

#coronavirus #COVID19 #LoseWithBiden #MichiganPrimary #Corona #remoteworking #CoronaVirusUpdate #FreeCallofDuty #UltimateLoveNG #TheBachelorFinale #bachelor #MichiganVotes #RBLTOT #TheBachelorABC #JyotiradityaMScindia https://t.co/IMzLm9FAFG"
"03/11/2020, 03:21:41",['MichiganVotes'],You should get the Original Actor that played Spawn. Either way it will look cool and badass. @Todd_McFarlane @THR #jctvpro #coronavirus #LoseWithBiden #COVID19 #FreeCallofDuty #TheBachelorFinale #bachelor #MichiganVotes #BREAKING #DirectoAcademia10M #CoronaVirusUpdate #Spawn
"03/10/2020, 23:08:17",['PrimaryElection'],Tracking the #economy &amp; #stockmarket on #SuperTuesday2 #PrimaryElection night with the amazing #FoxNews election team! #WallStreet bounced back ️1000pts after worst day since 2008 on hopes of #payrolltaxcut &amp; deferments to shield #coronavirus impact! What a treat to be included! https://t.co/c2QDKGtE0I
"03/11/2020, 02:55:55",['BadThingsToGetLabeledAs'],RT @Lou_S_Stools: #BadThingsToGetLabeledAs having #COVID19 ...  https://t.co/pbRveQQEXO
"03/11/2020, 02:49:23",['BadThingsToGetLabeledAs'],#BadThingsToGetLabeledAs having #COVID19 ...  https://t.co/pbRveQQEXO
"03/11/2020, 00:13:00",['TheResident'],"Excuse me, Dr. B. Did you not read the CDC's COVID-19 warning?! #TheResident https://t.co/fv0jDWrjV4"
"['03/11/2020, 13:27:14']",['Sears Tower'],"I saw ""Sears Tower"" trending and was afraid it had either died or caught the coronavirus."
"['03/11/2020, 13:27:14']",['Catholics for Trump'],"As Bernie Sanders and Joe Biden scale back their campaign events amid coronavirus concerns, President Trump’s campaign announced an event next week in Milwaukee aimed at launching Catholics for Trump.
https://t.co/sfOFjXazCY"
"['03/11/2020, 13:27:14']",['Miracle Whip'],RT @shesatornado: Miracle Whip had been shown to cure coronavirus when used as a suppository
"['03/11/2020, 13:27:14']",['Miracle Whip'],RT @shesatornado: Miracle Whip had been shown to cure coronavirus when used as a suppository
"['03/11/2020, 13:27:14']",['Robert Morris'],@RMUMBasketball coach Andy Toole: “If he decides they’re not going to have fans... he’s going to call my 7-year-old and my 5-year-old and tell them they can’t come to the NCAA Tournament. Good luck.” #leadershipfail #COVID19 #3yfk https://t.co/kQlK2EwkE1
"['03/11/2020, 13:27:14']",['Hofstra'],"More than 20 U.S. colleges have canceled in-person classes due to the coronavirus — including Columbia, Stanford, Hofstra University, USC and a handful of community colleges in Washington state.
https://t.co/TzBLYjH9zz"
"['03/11/2020, 13:27:14']",['CloseTheSchools'],"#closetheschools! More than 235,000 sign petition calling for Boris Johnson to send pupils home over coronavirus https://t.co/8Gj78kDKmg"
"['03/11/2020, 13:27:14']",['CloseTheSchools'],"Uh, herein lies the absurdity of #CloseTheSchools ...

You know to reopen the schools when the roads are clear of the snow, with coronavirus, once you close them, there will NEVER be an obviously safe time to reopen them!!!!

Please think this through people!!! https://t.co/KvSxRdAONM"
"['03/11/2020, 13:27:14']",['CloseTheSchools'],#mustread : Vital info and guidance for parents and teachers about how best to prepare and plan in the event of temporary school closures #COVID19#coronavirus #CloseTheSchools @WHO @UNICEF @ifrc https://t.co/bmwJNe1z5R
"['03/11/2020, 13:27:14']",['CloseTheSchools'],"The hashtags ️ #CUNY, #SUNY, and #CloseTheSchools were trending over concerns about the #coronavirus.

Here’s why...

Watch: https://t.co/HbPcDSIBj6 via @NBCNewYork https://t.co/PDcYt3Q1h4"
"['03/11/2020, 13:27:14']",['CloseTheSchools'],"RT @ABetterYouToda1: Excellent article, true everywhere  #Covid19
“My research on the long history of epidemics has taught me that when it…"
"['03/11/2020, 13:27:14']",['CloseTheSchools'],"Sign and Support the petition: #LACCD #CloseTheSchools #coronavirus #COVID2019 
https://t.co/nfbpxhc68e https://t.co/8VAT08AF10"
"['03/11/2020, 13:27:14']",['CloseTheSchools'],RT @FGY00NGI: so you’re telling me a student or teacher has to get the coronavirus in the school for it to close down for 24 HOURS and ever…
"['03/11/2020, 13:27:14']",['CloseTheSchools'],"@uoregon A useful NYT article is paywalled, so here’s the takeaway “My research on the long history of epidemics has taught me that when it comes to outbreaks of contagious respiratory infections, closing schools can help prevent many thousands of illnesses &amp; deaths.” #CloseTheSchools"
"['03/11/2020, 13:27:14']",['CloseTheSchools'],RT @sunnybaabe: I don’t get why we are waiting for coronavirus to get to our campuses before closing them. The spread will be much worse wh…
"['03/11/2020, 13:27:14']",['CloseTheSchools'],RT @sunnybaabe: I don’t get why we are waiting for coronavirus to get to our campuses before closing them. The spread will be much worse wh…
"['03/11/2020, 13:27:14']",['CloseTheSchools'],RT @sunnybaabe: I don’t get why we are waiting for coronavirus to get to our campuses before closing them. The spread will be much worse wh…
"['03/11/2020, 13:27:14']",['CloseTheSchools'],RT @FGY00NGI: so you’re telling me a student or teacher has to get the coronavirus in the school for it to close down for 24 HOURS and ever…
"['03/11/2020, 13:27:14']",['MichiganVotes'],"RT @gitmo2727: The US is going into this #coronavirus debacle with the strongest economy in the world and DJT  at the helm, who you betting…"
"['03/11/2020, 13:27:14']",['MichiganVotes'],"RT @shareslanger: Want Real AMERICAN Manufacturing with all this #coronavirus mess???

 #MAGA with $50M #technology company supporting #Jo…"
"['03/11/2020, 13:27:14']",['MichiganVotes'],"RT @gitmo2727: The US is going into this #coronavirus debacle with the strongest economy in the world and DJT  at the helm, who you betting…"
"['03/11/2020, 13:27:14']",['PrimaryElection'],Tracking the #economy &amp; #stockmarket on #SuperTuesday2 #PrimaryElection night with the amazing #FoxNews election team! #WallStreet bounced back ️1000pts after worst day since 2008 on hopes of #payrolltaxcut &amp; deferments to shield #coronavirus impact! What a treat to be included! https://t.co/c2QDKGtE0I
"['03/11/2020, 13:27:14']",['PrimaryElection'],So @BernieSanders and @JoeBiden are at high risk of getting #coronavirus due to their age and that they are literally traveling and shaking hands with everyone. @TulsiGabbard might actually win the #PrimaryElection (wish everyone good health btw)
"['03/11/2020, 13:27:14']",['CashAppWisdom'],"RT @RealBotschafter: ¿Asterix predijo el brote de coronavirus

Ver este artículo
https://t.co/CTTiG6GGSW

Retweet y Sígueme si quieres…"
"['03/11/2020, 13:27:14']",['CashAppWisdom'],"RT @RealBotschafter: ¿Asterix predijo el brote de coronavirus

Ver este artículo
https://t.co/CTTiG6GGSW …

Retweet y Sígueme si quieres…"
"['03/11/2020, 13:27:14']",['MisquoteAQuote'],I have COVID-19 and the only cure is more cowbell! #MisquoteAQuote
"['03/11/2020, 13:27:14']",['TheResident'],"Excuse me, Dr. B. Did you not read the CDC's COVID-19 warning?! #TheResident https://t.co/fv0jDWrjV4"
"['03/11/2020, 13:27:14']",['TheResident'],"RT @ResidentFOX: Excuse me, Dr. B. Did you not read the CDC's COVID-19 warning?! #TheResident https://t.co/fv0jDWrjV4"
"['03/11/2020, 23:53:24']",['TheBachelor'],I wonder if Barb has the coronavirus too? Bc she seemed a little sick the past two nights #TheBachelor #CornavirusOutbreak
"['03/11/2020, 23:53:24']",['Sears Tower'],"I saw ""Sears Tower"" trending and was afraid it had either died or caught the coronavirus."
"['03/11/2020, 23:53:24']",['Sears Tower'],"I’m never calling the Sears Tower the Willis Tower except as a joke.
I’m never calling Comisky/The Cell Guaranteed Rate Field except as a joke.
I’m never calling ISIS ISIL except as a joke.

I’m never calling coronavirus COVID-19 except as a joke"
"['03/11/2020, 23:53:24']",['Catholics for Trump'],"Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics for Trump event scheduled for March 19th in Milwaukee. It will be rescheduled."
"['03/11/2020, 23:53:24']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/11/2020, 23:53:24']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/11/2020, 23:53:24']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/11/2020, 23:53:24']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/11/2020, 23:53:24']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/11/2020, 23:53:24']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/11/2020, 23:53:24']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/11/2020, 23:53:24']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/11/2020, 23:53:24']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/11/2020, 23:53:24']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/11/2020, 23:53:24']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/11/2020, 23:53:24']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/11/2020, 23:53:24']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/11/2020, 23:53:24']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/11/2020, 23:53:24']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/11/2020, 23:53:24']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/11/2020, 23:53:24']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/11/2020, 23:53:24']",['Alex Jones'],"Amazon is selling toothpaste Alex Jones said can ""kill"" coronavirus. It's offered in InfoWars' Amazon store.

Orders are fulfilled by Amazon. Prime shipping is available. 

I've asked Amazon if selling this kind of scam is consistent w/its policies

Will let you know what I hear https://t.co/Z8HhGptT0o"
"['03/11/2020, 23:53:24']",['Alex Jones'],"RT @LMLohrey: You just can't fix stupid.

Alex Jones promotes toothpaste he claims 'kills' coronavirus; FDA warns it's fraudulent. (Duh...)…"
"['03/11/2020, 23:53:24']",['Alex Jones'],"Yesterday: Haha! Alex Jones got in trouble again.

Tomorrow: *cough cough* They’re shutting down Austin because of the COVID-19 virus! Where’s Alex Jones’ bunker? *cough cough*

-FIN-"
"['03/11/2020, 23:53:24']",['Alex Jones'],@aspahn @timspahn How can we make sure Alex Jones gets coronavirus?
"['03/11/2020, 23:53:24']",['Alex Jones'],RT @nypost: Alex Jones peddling toothpaste he falsely claims can kill coronavirus https://t.co/pQfU7dR9gZ https://t.co/l9XduGOyAR
"['03/11/2020, 23:53:24']",['Alex Jones'],"RT @2021_free: Alex Jones promotes toothpaste he claims 'kills' coronavirus; FDA warns it's fraudulent
 https://t.co/SHjUJSG1Ri"
"['03/11/2020, 23:53:24']",['Alex Jones'],RT @nypost: Alex Jones peddling toothpaste he falsely claims can kill coronavirus https://t.co/pQfU7dR9gZ https://t.co/l9XduGOyAR
"['03/11/2020, 23:53:24']",['Alex Jones'],"RT @JuddLegum: Amazon is selling toothpaste Alex Jones said can ""kill"" coronavirus. It's offered in InfoWars' Amazon store.

Orders are ful…"
"['03/11/2020, 23:53:24']",['Alex Jones'],"Lemme recap the night
Omar got married...again...maybe
Avenatti hasn’t showered in a week
Europe closed up shop
Alex Jones is selling coronavirus toothpaste 
Tom Hanks sneezed"
"['03/11/2020, 23:53:24']",['Alex Jones'],Alex Jones peddling toothpaste he falsely claims can kill coronavirus https://t.co/WNK7KJhtl6 #News
"['03/11/2020, 23:53:24']",['Alex Jones'],"RT @LMLohrey: You just can't fix stupid.

Alex Jones promotes toothpaste he claims 'kills' coronavirus; FDA warns it's fraudulent. (Duh...)…"
"['03/11/2020, 23:53:24']",['Alex Jones'],"RT @UROCKlive1: Further proof this virus is Darwin's pop quiz.

Alex Jones promotes toothpaste he claims 'kills' coronavirus; FDA warns it'…"
"['03/11/2020, 23:53:24']",['Alex Jones'],"When you go to look up things related to the coronavirus these days, you get this message from Twitter. Comments like the ones Alex Jones has supplied make up one of the reasons why you would see that message. https://t.co/2nNyeKNVPr"
"['03/11/2020, 23:53:24']",['Miracle Whip'],RT @shesatornado: Miracle Whip had been shown to cure coronavirus when used as a suppository
"['03/11/2020, 23:53:24']",['Miracle Whip'],"@PositivePyrami1 New poll. What's more popular, miracle whip or coronavirus? "
"['03/11/2020, 23:53:24']",['Robert Morris'],"COVID-19 Update:

Effective Monday, March 16, Robert Morris University will conduct all classes online or using alternative instructional methods through April 27.

Classes are canceled Thursday and Friday, March 12-13 for faculty and staff to prepare.

 https://t.co/ZCfIX7xoc6 https://t.co/h6PQuIBEPD"
"['03/11/2020, 23:53:24']",['Robert Morris'],#BREAKING: Robert Morris University says it will conduct classes online to stop the spread of the coronavirus. https://t.co/SvcOZtJC8b
"['03/11/2020, 23:53:24']",['Robert Morris'],"RT @RMU: COVID-19 Update:

Effective Monday, March 16, Robert Morris University will conduct all classes online or using alternative instru…"
"['03/11/2020, 23:53:24']",['Robert Morris'],"RT @RMU: COVID-19 Update:

Effective Monday, March 16, Robert Morris University will conduct all classes online or using alternative instru…"
"['03/11/2020, 23:53:24']",['Hofstra'],"More than 20 U.S. colleges have canceled in-person classes due to the coronavirus — including Columbia, Stanford, Hofstra University, USC and a handful of community colleges in Washington state.
https://t.co/TzBLYjH9zz"
"['03/11/2020, 23:53:24']",['Hofstra'],RT @heyyjaani: coronavirus will hit hofstra first because it couldn’t get into nyu
"['03/11/2020, 23:53:24']",['CloseTheSchools'],"#closetheschools! More than 235,000 sign petition calling for Boris Johnson to send pupils home over coronavirus https://t.co/8Gj78kDKmg"
"['03/11/2020, 23:53:24']",['CloseTheSchools'],"Uh, herein lies the absurdity of #CloseTheSchools ...

You know to reopen the schools when the roads are clear of the snow, with coronavirus, once you close them, there will NEVER be an obviously safe time to reopen them!!!!

Please think this through people!!! https://t.co/KvSxRdAONM"
"['03/11/2020, 23:53:24']",['CloseTheSchools'],"I believe everyone should stay at home until further notice . The world is in STATE OF PANIC right now as we're in deep sh***crisis.  
#Pandumbic #CoronaVirusUpdate #CoronavirusPandemic #pandemic #pandemia #BREAKING #CloseTheSchools #coronavirus #COVID19"
"['03/11/2020, 23:53:24']",['CloseTheSchools'],"Someone in #italy shared her experience what is it like in Italy and suggestion

 #coronavirus #CoronaVirusUpdate #CoronavirusOutbreak #CloseTheSchools #COVID https://t.co/EVRomipB7C"
"['03/11/2020, 23:53:24']",['CloseTheSchools'],"RT @Infused__: If you are in a relationship then you are 2x more likely to get corona virus. No more simping, it's single season boys #Coro…"
"['03/11/2020, 23:53:24']",['CloseTheSchools'],"Yes, you would personally probably survive a case of #COVID19. You would probably also end up spreading it to others and eventually to others who are not as able to fight it off.
If you can, lay low for a little while. It's not just about you.  #FlattenTheCurve
#CloseTheSchools"
"['03/11/2020, 23:53:24']",['CloseTheSchools'],"So things are getting worse out there with the Cornavirus, lots of people seem to not take this to seriously and we needed Tom Hanks to get sick for a point to be proven.  Wash your hands people!!! #CoronavirusPandemic #BREAKING #CloseTheSchools"
"['03/11/2020, 23:53:24']",['CloseTheSchools'],Wake me up when this is over #pandemic #COVID19US #PresidentialAddress #CloseTheSchools #COVID #CoronaVirusUpdate
"['03/11/2020, 23:53:24']",['CloseTheSchools'],"I just  pray everybody I love is safe 

#CoronavirusPandemic #Pandumbic #pandemic #CloseTheSchools #PresidentialAddress #BREAKING"
"['03/11/2020, 23:53:24']",['PrimaryElection'],Tracking the #economy &amp; #stockmarket on #SuperTuesday2 #PrimaryElection night with the amazing #FoxNews election team! #WallStreet bounced back ️1000pts after worst day since 2008 on hopes of #payrolltaxcut &amp; deferments to shield #coronavirus impact! What a treat to be included! https://t.co/c2QDKGtE0I
"['03/11/2020, 23:53:24']",['PrimaryElection'],"Worth a repost/sharing! Attention #Ohio!!! Don't let voting location changes prevent you from voting! Request your #AbsenteeBallot to #VoteByMail NOW, before it's too late!
#OhioVotes #AbsenteeBallots #PrimaryElection #VoteByMail #OhioPrimary #CoronavirusPandemic #OhioCoronavirus https://t.co/nrvyi9oc00"
"['03/11/2020, 23:53:24']",['PrimaryElection'],Guys guys guys. I’ve got it. #coronalection U SAW IT HERE FIRST. Coronalection hashtag for all things political/viral that you can’t stand. I might be a genius. Someone call the @q_libraryofcong #PrimaryElection #CoronavirusPandemic #Pandumbic #CloseTheSchools https://t.co/h5xHcg5SvH
"['03/11/2020, 23:53:24']",['MisquoteAQuote'],I have COVID-19 and the only cure is more cowbell! #MisquoteAQuote
"['03/11/2020, 23:53:24']",['TheResident'],"Excuse me, Dr. B. Did you not read the CDC's COVID-19 warning?! #TheResident https://t.co/fv0jDWrjV4"
"['03/11/2020, 23:53:24']",['TheResident'],"Entre el coronavirus, Dr. Kim en #TheResident y Dr. Han en #TheGoodDoctor, van a hacer que le agarre un odio terrible a los asiáticos "
"['03/11/2020, 23:53:24']",['ACCTourney'],ACC tournament will keep fans out of its remaining games amid coronavirus outbreak https://t.co/JcFiKaBBYS DARN IT! Go Pack!! #coronavirus #acctourney #ncstate
"['03/12/2020, 18:26:35']",['TheBachelor'],I’m just gonna say it - I hope Barb from the bachelor gets coronavirus. #thebachelor #thebachelorfinale
"['03/12/2020, 18:26:35']",['Sears Tower'],"I saw ""Sears Tower"" trending and was afraid it had either died or caught the coronavirus."
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics for Trump event scheduled for March 19th in Milwaukee. It will be rescheduled."
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"Trump campaign postpones upcoming Wisconsin event too.  “Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics for Trump event scheduled for March 19th in Milwaukee. It will be rescheduled.”"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Catholics for Trump'],"RT @TimMurtaugh: Out of an abundance of caution because of the coronavirus outbreak, the President’s campaign is postponing the Catholics f…"
"['03/12/2020, 18:26:35']",['Alex Jones'],"I ordered Alex Jones to immediately stop selling &amp; marketing products as a treatment or cure for #coronavirus on his website.
 
If he doesn't cease &amp; desist these activities immediately, I won't hesitate to take legal action &amp; hold him accountable for the harm he’s caused."
"['03/12/2020, 18:26:35']",['Alex Jones'],"Amazon is selling toothpaste Alex Jones said can ""kill"" coronavirus. It's offered in InfoWars' Amazon store.

Orders are fulfilled by Amazon. Prime shipping is available. 

I've asked Amazon if selling this kind of scam is consistent w/its policies

Will let you know what I hear https://t.co/Z8HhGptT0o"
"['03/12/2020, 18:26:35']",['Alex Jones'],"INBOX: @NewYorkStateAG orders Alex Jones to stop selling fake coronavirus treatments like ""toothpaste, dietary supplements, creams, and several other products"" hawked on InfoWars.

Cease and desist letter here: https://t.co/KJ7HuLkDKt

Statement below. cc: @CourthouseNews https://t.co/4tfYZChljP"
"['03/12/2020, 18:26:35']",['Alex Jones'],Alex Jones is telling his viewers that the toothpaste he sells kills coronavirus: “The Pentagon uses the product we have” https://t.co/kfngvRpfyg https://t.co/PYzkiTl5HP
